"","GEO_CODE","Lat","Long","Pop","Pop_male","Pop_female","Pop_16_26","Pop_32_39","Pop_40_52","Pop_53_65","Pop_66_76","Age_Moyen","Age_Median","Male_total","Female_total","Pop_Male_16_26","Pop_Female_16_26","Pop_Male_32_39","Pop_Female_32_39","Pop_Male_40_52","Pop_Female_40_52","Pop_Male_53_65","Pop_Female_53_65","Pop_Male_66_76","Pop_Female_66_76","sal_1","sal_2","sal_3","sal_4","sal_5","sal_6","sal_7","sal_8","sal_9","sal_10","sal_11","sal_1_m","sal_2_m","sal_3_m","sal_4_m","sal_5_m","sal_6_m","sal_7_m","sal_8_m","sal_9_m","sal_10_m","sal_11_m","sal_1_f","sal_2_f","sal_3_f","sal_4_f","sal_5_f","sal_6_f","sal_7_f","sal_8_f","sal_9_f","sal_10_f","sal_11_f","Total_Habitation","Propriétaire","Locataire","Condo","Celibataire","Conjoint_fait","Marie","Celibataire_M","Conjoint_fait_M","Marie_M","Celibataire_F","Conjoint_fait_F","Marie_F","Maison_Detache","Appartement","Bilingue","Couple_1","Couple_2","Couple_3"
"357","J6J",45.3784584656,-73.7306100166,23455,11500,11950,3216,2188,4207,4437,2362,41.3,42.6,11500,11950,1689,1526,1040,1151,2009,2193,2200,2242,1076,1289,2590,3430,3465,3280,2325,1490,825,450,545,210,125,1145,1355,1530,1655,1190,865,500,280,390,140,85,1440,2075,1935,1635,1135,620,325,170,160,65,40,6810,2635,325,8520,3425,7480,3970,1710,3725,4550,1715,3755,9445,10170,2655,13905,1115,1190,570
"358","J6K",45.3526141791,-73.7305179,24450,11805,12650,3080,2484,4171,4491,2462,41.4,42.1,11805,12650,1586,1488,1199,1288,2039,2127,2135,2356,1135,1322,2385,3425,3525,3475,2585,1565,895,365,420,175,95,1030,1275,1515,1775,1340,925,540,250,310,120,75,1350,2150,2005,1700,1245,645,355,115,110,55,20,7325,2020,1000,8195,3640,8175,3620,1820,4085,4570,1820,4095,9355,9880,2380,13820,1205,1295,605
"359","J6N",45.3127238967,-73.8572327691,15185,7530,7660,1874,1385,2420,3185,1863,43.8,46.4,7530,7660,923,945,689,699,1180,1232,1606,1573,918,942,1450,2395,2475,2270,1535,950,575,280,370,135,70,575,905,1095,1165,890,600,375,200,280,100,55,875,1490,1380,1105,635,340,205,80,95,35,10,4530,2235,465,5340,3545,4015,2560,1765,2010,2780,1785,2005,6765,7010,2345,6510,675,645,270
"360","J6R",45.3078200971,-73.741946285,13115,6505,6610,1735,1552,2450,2164,1115,38.1,38.5,6505,6610,902,835,758,794,1231,1224,1040,1129,530,588,1100,1495,1620,1760,1465,1060,655,345,445,180,90,420,560,690,835,780,645,385,235,340,135,70,680,930,930,925,680,420,270,110,110,45,15,4135,705,225,3615,2915,3895,1735,1450,1945,1880,1465,1950,4840,5275,715,6925,690,875,335
"361","J6S",45.2720954253,-74.0534782827,23520,11320,12195,2835,2059,3643,4931,3107,45.9,49,11320,12195,1425,1411,1040,1019,1770,1873,2360,2575,1413,1690,2165,4060,3940,3420,2155,1300,815,345,400,155,90,830,1365,1835,1785,1250,770,560,255,315,140,70,1335,2700,2110,1635,905,530,250,90,80,20,20,6505,4055,690,9345,4920,6140,4165,2460,3080,5180,2460,3060,10555,11655,4220,8205,1015,850,340
"362","J6T",45.2375774335,-74.1200475167,17230,8450,8775,2182,1551,2630,3582,2347,44.6,47.2,8450,8775,1130,1052,793,766,1295,1332,1751,1824,1105,1242,1720,3140,3040,2555,1565,885,505,205,265,105,50,705,1205,1360,1335,900,585,345,155,200,80,50,1015,1930,1680,1215,665,300,160,55,65,25,5,4190,3870,545,7075,3495,4260,3325,1740,2130,3745,1755,2130,8070,8500,4035,6235,725,550,245
"363","J6V",45.7127837781,-73.535132226,12315,6105,6210,1581,1263,2755,2264,932,38.3,40.5,6105,6210,810,773,581,685,1369,1396,1125,1138,460,468,985,1295,1235,1455,1370,1100,820,440,725,275,140,405,490,540,660,715,590,465,280,525,180,105,575,810,695,795,655,510,355,160,200,100,35,4190,425,1055,3405,2450,4010,1645,1220,2000,1750,1230,2010,4590,4500,1215,6165,655,915,300
"364","J6W",45.7056497511,-73.618064186,32010,15750,16255,4430,3167,6109,5955,3392,40.6,41.8,15750,16255,2303,2131,1514,1653,3010,3096,2874,3079,1564,1830,2965,4540,4470,4435,3285,2195,1470,715,1120,455,210,1180,1645,1990,2190,1745,1285,910,485,855,325,165,1785,2895,2480,2245,1540,910,560,225,270,130,45,8675,4520,1335,11445,6355,8695,5395,3175,4335,6050,3180,4360,13205,13975,5405,13685,1495,1670,690
"365","J6X",45.7275423949,-73.7061556201,23045,11390,11660,3181,2292,4316,4954,1912,39.7,41.3,11390,11660,1654,1527,1116,1171,2054,2262,2407,2546,945,965,1995,2775,2950,3175,2580,1800,1205,630,805,275,175,825,1060,1240,1495,1345,1085,750,445,595,200,115,1170,1720,1715,1680,1230,720,455,190,215,75,60,7040,1655,565,7195,4945,6790,3420,2460,3385,3775,2490,3405,8685,9290,1835,10155,1275,1385,520
"366","J6Y",45.6994852307,-73.7509046305,19970,10045,9925,2304,2722,4171,2798,1174,34.9,36.5,10045,9925,1168,1138,1267,1452,2153,2018,1429,1371,599,583,1545,1990,1970,2185,2130,1650,1145,635,825,305,165,630,790,855,1060,1120,950,665,400,590,215,115,910,1205,1115,1125,1010,700,485,235,235,85,55,6065,610,340,4855,4560,5470,2405,2275,2730,2445,2285,2735,6695,6970,760,9040,965,1625,640
